x,y,ds,dist,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-455.614011153547,75.8499435799163,2.00000011220839,214.053538908529,-3.05834395609802,5.55555534362793,0,"array('q', [33089])",,,,
-457.6070848819,75.6836384263418,2.0000000726891,216.053538981218,-3.05835397028808,5.55555534362793,0,"array('q', [33089])",,,,
-459.600160101611,75.5173532463078,1.99999989813123,218.053538879349,-3.05836598974543,5.55555534362793,0,"array('q', [33089])",,,,
-461.593237202928,75.3510920317208,1.99999978081752,220.053538660167,-3.0583378354795,5.55555534362793,0,"array('q', [33089, 33290])",,,,
-463.586310003479,75.1847746717846,2.00000016312811,222.053538823295,-3.05830254539,5.55555534362793,0,"array('q', [33089, 33290])",,,,
-465.579377502433,75.0183869287326,2.000000734106,224.053539557401,-3.05847293644053,5.55555534362793,0,"array('q', [33290, 33159])",,,,
-467.572471892062,74.8523389082095,1.99999929777249,226.053538855173,-3.05868285056007,5.55555534362793,0,"array('q', [33159])",,,,
-469.565599223789,74.6867094253777,1.99999742151337,228.053536276687,-3.05799732349484,5.55555534362793,0,"array('q', [33159])",,,,
-471.558618815948,74.5197131132857,2.00000371574208,230.053539992429,-3.05734936351087,5.55555534362793,0,"array('q', [33159])",,,,
-473.551536609927,74.3514248628938,2.00001056716657,232.053550559595,-3.06027380365727,5.55555534362793,0,"array('q', [33159])",,,,
-475.544913501444,74.1889674916764,1.99998595722493,234.05353651682,-3.06519586914439,5.55555534362793,0,"array('q', [33159, 27670])",,,,
-477.539067186926,74.0363234794702,1.9999872789055,236.053523795726,-3.06625792187509,5.55555534362793,0,"array('q', [33159, 27670])",,,,
-479.533411445246,73.8857952165782,2.00001694458401,238.05354074031,-3.06418453883565,5.55555534362793,0,"array('q', [33159, 27670])",,,,
-481.527457159221,73.7311308565344,2.00003484311897,240.053575583429,-3.06560050855403,5.55555534362793,0,"array('q', [27670])",,,,
-483.521675945179,73.579293503643,1.99999078697902,242.053566370408,-3.07136256887076,5.55555534362793,0,"array('q', [27670])",,,,
