station,node,x,y,z,qx,qy,qz,qw
D04S,HD04S01,-4.37682867050171,127.454933166504,1.74317767745978,0,0,-0.703709097419677,0.710488216797987
D04S,HD04S02,-12.4839057922363,116.311859130859,1.72794450374009,0,0,-0.9664613229589,0.256812210037865
D04S,HD04S03,-3.82716274261475,116.71565246582,1.74378925161723,0,0,-0.770658879941928,0.637247903697339
D04S,HD04S04,-8.42489337921143,96.5213775634766,1.75687464990929,0,0,-0.807029496550394,0.590511127496864
D04S,HD04S05,-4.6901593208313,93.0674896240234,1.75285189675218,0,0,-0.669299964191683,0.742992300049612
D0401N,HD0401N01,-44.2382888793945,109.674575805664,1.73172771401331,0,0,-0.998244636149283,0.0592253864418379
D0401N,HD0401N02,-45.6870727539063,112.30640411377,1.73748246445449,0,0,0.993088293002995,0.117369682202848
D05S,HD05S01,-96.2834091186523,105.29573059082,1.73236259134609,0,0,-0.999365500360376,0.0356173649987695
D05A,HD05A01,-84.4103698730469,109.233825683594,1.72671068514379,0,0,-0.94582731565531,0.324670123294814
D05A,HD05A02,-96.2834091186523,105.29573059082,1.73236259134609,0,0,-0.999365500360376,0.0356173649987695
D06S,HD06S01,-151.313461303711,100.737777709961,1.7323605372655,0,0,-0.998927089816801,0.0463105736321357
D06A,HD06A01,-141.907791137695,104.423782348633,1.72645769239239,0,0,-0.937729493626172,0.34736637255728
D06A,HD06A02,-151.313461303711,100.737777709961,1.7323605372655,0,0,-0.998927089816801,0.0463105736321357
D0601N,HD0601N01,-173.397705078125,99.3714218139649,1.7359294323161,0,0,0.996419158034382,0.0845509402789387
D0601N,HD0601N02,-188.111587524414,100.116203308105,1.73208716744445,0,0,-0.998159741383435,0.0606393492820831
D0601N,HD0601N03,-195.687408447266,91.9152984619141,1.74343498518737,0,0,-0.673199537322629,0.739460873169499
D0601N,HD0601N04,-191.956878662109,80.2519378662109,1.75161182409627,0,0,-0.656456571184281,0.754363818160029
D11A,HD11A01,-191.608993530273,49.1171989440918,1.76003002629478,0,0,-0.459938035883968,0.887951013934439
D11A,HD11A02,-187.707626342773,23.4998435974121,1.7652,0,0,-0.833812899974162,0.552047142766519
D11A,HD11A03,-186.731216430664,19.8212909698486,1.7652,0,0,-0.691913461057258,0.721980444615896
D11S,HD11S01,-190.199615478516,59.7534866333008,1.75364221892625,0,0,-0.675607525903456,0.737261467148942
D11S,HD11S02,-187.707626342773,23.4998435974121,1.7652,0,0,-0.833812899974162,0.552047142766519
D11S,HD11S03,-186.731216430664,19.8212909698486,1.7652,0,0,-0.691913461057258,0.721980444615896
D12S,HD12S01,-184.644622802734,-5.85814571380615,1.7652,0,0,-0.748555369929883,0.663072287272765
D12S,HD12S02,-191.326705932617,-31.6297416687012,1.7652,0,0,-0.686810023959525,0.726836976899715
D12S,HD12S03,-190.379425048828,-62.8679275512695,1.7652,0,0,-0.845891247269599,0.533355414140216
D12S,HD12S04,-222.200546264648,-80.3048400878906,1.7652,0,0,-0.999419473266211,0.0340692890487843
D12S,HD12S05,-235.744445800781,-84.2531890869141,1.7652,0,0,-0.971935790119637,0.235246296218489
D12A,HD12A01,-188.706390380859,-5.2998685836792,1.7652,0,0,-0.687410121183403,0.726269457773503
D12A,HD12A02,-191.733657836914,-24.4870586395264,1.7652,0,0,-0.685151456263483,0.72840063288003
D12A,HD12A03,-190.379425048828,-62.8679275512695,1.7652,0,0,-0.845891247269599,0.533355414140216
D12A,HD12A04,-222.200546264648,-80.3048400878906,1.7652,0,0,-0.999419473266211,0.0340692890487843
D12A,HD12A05,-235.744445800781,-84.2531890869141,1.7652,0,0,-0.971935790119637,0.235246296218489
D07A,HD07A01,-6.76749181747437,71.6998443603516,1.75570512304616,0,0,-0.521215748887837,0.853424948727942
D07A,HD07A02,-1.87012958526611,61.2934036254883,1.76157005003636,0,0,-0.68674973440311,0.726893941574187
D07A,HD07A03,-2.14800596237183,33.8305168151855,1.7652,0,0,-0.830691227215253,0.556733405704757
D07A,HD07A04,0.609460353851318,31.7855815887451,1.7652,0,0,-0.684083949081224,0.729403283931076
D07S,HD07S01,-2.14800596237183,33.8305168151855,1.7652,0,0,-0.830691227215253,0.556733405704757
D07S,HD07S02,0.609460353851318,31.7855815887451,1.7652,0,0,-0.684083949081224,0.729403283931076
D08A,HD08A01,-1.72643804550171,9.60409545898438,1.7652,0,0,-0.683213905615501,0.730218295562096
D08A,HD08A02,-0.430591583251953,-0.47455358505249,1.7652,0,0,-0.644101312432284,0.764940193298149
D08A,HD08A03,0.657754182815552,-9.04689788818359,1.7652,0,0,-0.808208962692961,0.58889580795143
D08A,HD08A04,-2.19159936904907,-12.9519176483154,1.7652,0,0,-0.947134291921778,0.320837393496817
D08S,HD08S01,-2.19159936904907,-12.9519176483154,1.7652,0,0,-0.947134291921778,0.320837393496817
D0801N,HD0801N01,-37.3815269470215,-16.0319023132324,1.75306593307582,0,0,0.976952261371072,0.21345790920448
D0801N,HD0801N02,-38.5715408325195,-18.0541839599609,1.7652,0,0,-0.997262972895837,0.0739362082538456
D09S,HD09S01,-90.9837646484375,-22.7025928497314,1.7652,0,0,-0.999659189555468,0.0261056456979035
D09S,HD09S02,-94.0645523071289,-19.8524627685547,1.74870831576468,0,0,0.985590651263335,0.169148065736251
D09A,HD09A01,-75.7987289428711,-19.2976627349854,1.7652,0,0,-0.968762784836869,0.247989247176393
D09A,HD09A02,-90.9837646484375,-22.7025928497314,1.7652,0,0,-0.999659189555468,0.0261056456979035
D09A,HD09A03,-94.0645523071289,-19.8524627685547,1.74870831576468,0,0,0.985590651263335,0.169148065736251
D10S,HD10S01,-139.87370300293,-26.4789295196533,1.7652,0,0,-0.999425498480682,0.0338920785234607
D10A,HD10A01,-130.552688598633,-23.7000102996826,1.7652,0,0,-0.946113544757589,0.323835082142485
D10A,HD10A02,-139.87370300293,-26.4789295196533,1.7652,0,0,-0.999425498480682,0.0338920785234607
D1001N,HD1001N01,-180.814682006836,-28.2310657501221,1.7652,0,0,-0.997955853427709,0.0639070779286021
